epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1066.19,0.72615,1.14197,0.13328,0.03366,0.96366,0.23465,0.13465,0.23113,1.68928,0.06373,0.000333117,0.000333117,0.0670215
2,1834.92,0.54428,0.9957,0.08001,0.33791,0.7016,0.37636,0.12793,0.6665,0.8381,0.17154,0.000664643,0.000664643,0.0340196
3,2595.89,0.51246,0.75069,0.07391,0.3693,0.599,0.45212,0.22667,0.52575,1.37315,0.18032,0.000988969,0.000988969,0.00101064
4,3357.83,0.52338,0.76587,0.09615,0.61162,0.81704,0.65981,0.37157,0.46139,0.67897,0.15681,0.000975773,0.000975773,0.000975773
5,4117.56,0.47095,0.68626,0.07616,0.93684,0.19799,0.21981,0.10626,0.71226,1.08362,0.25252,0.000957205,0.000957205,0.000957205
6,4874.44,nan,nan,nan,0,0,0,0,nan,nan,nan,0.000933683,0.000933683,0.000933683
7,5625.67,0.39711,0.92678,0.06443,0,0,0,0,nan,nan,nan,0.000905463,0.000905463,0.000905463
8,6380.29,0.37603,0.77007,0.05791,0,0,0,0,nan,nan,nan,0.000872857,0.000872857,0.000872857
9,7137.36,0.35243,0.73462,0.05167,0,0,0,0,nan,nan,nan,0.00083622,0.00083622,0.00083622
10,7888.12,0.36176,0.71721,0.05453,0,0,0,0,nan,nan,nan,0.000795954,0.000795954,0.000795954
11,8638.75,0.35211,0.67881,0.05384,0,0,0,0,nan,nan,nan,0.0007525,0.0007525,0.0007525
12,9389.06,0.31895,0.67133,0.04437,0,0,0,0,nan,nan,nan,0.000706335,0.000706335,0.000706335
13,10179.3,0.3234,0.65707,0.04507,0,0,0,0,nan,nan,nan,0.000657963,0.000657963,0.000657963
14,10978.3,0.31451,0.61861,0.04339,0,0,0,0,nan,nan,nan,0.000607916,0.000607916,0.000607916
