epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.2234,0.94156,0.77279,0.94426,0.9526,0.93178,0.96335,0.73791,0.78972,0.5435,0.92145,0.000332468,0.000332468,0.0670857
2,182.327,0.89361,0.57777,0.93464,0.95426,0.95614,0.977,0.75045,0.81278,0.5619,0.9186,0.000663995,0.000663995,0.0340839
3,268.9,0.86665,0.55091,0.93188,0.97211,0.96096,0.98403,0.77139,0.73843,0.46941,0.89414,0.000988327,0.000988327,0.00107491
4,356.024,0.84054,0.52288,0.92563,0.97324,0.96241,0.97622,0.78211,0.73399,0.4613,0.90547,0.000975773,0.000975773,0.000975773
5,441.894,0.80991,0.5035,0.91815,0.96845,0.96164,0.98268,0.78693,0.71924,0.45757,0.89764,0.000957205,0.000957205,0.000957205
6,530.399,0.8021,0.47841,0.91471,0.97464,0.96319,0.98709,0.78739,0.71719,0.43576,0.88965,0.000933683,0.000933683,0.000933683
7,616.94,0.78217,0.46368,0.91399,0.96376,0.96647,0.98216,0.79139,0.69389,0.41829,0.88982,0.000905463,0.000905463,0.000905463
8,704.023,0.78672,0.4606,0.91306,0.98336,0.96263,0.98552,0.80677,0.68134,0.40186,0.87748,0.000872857,0.000872857,0.000872857
9,789.095,0.76404,0.44419,0.91157,0.97459,0.96117,0.98557,0.80715,0.64494,0.39551,0.86894,0.00083622,0.00083622,0.00083622
10,876.975,0.75184,0.42452,0.89764,0.98454,0.95785,0.98531,0.81333,0.64757,0.36056,0.86783,0.000795954,0.000795954,0.000795954
11,963.005,0.73488,0.41134,0.89898,0.97076,0.97494,0.984,0.80848,0.64847,0.36221,0.87518,0.0007525,0.0007525,0.0007525
12,1049.27,0.72732,0.40875,0.89721,0.97583,0.96108,0.98873,0.81455,0.66497,0.38781,0.86822,0.000706335,0.000706335,0.000706335
13,1135.72,0.73115,0.4022,0.89529,0.97566,0.96867,0.98261,0.8072,0.65174,0.36879,0.86412,0.000657963,0.000657963,0.000657963
14,1221.95,0.71583,0.39096,0.89446,0.97242,0.97219,0.98547,0.81372,0.62445,0.35676,0.86634,0.000607916,0.000607916,0.000607916
15,1307.49,0.70293,0.38196,0.89734,0.97249,0.9747,0.98479,0.81759,0.62828,0.35191,0.86826,0.000556742,0.000556742,0.000556742
16,1395.41,0.70483,0.37885,0.89224,0.97972,0.96868,0.98552,0.82485,0.61334,0.33226,0.86814,0.000505,0.000505,0.000505
17,1482.07,0.68816,0.36431,0.88784,0.97559,0.97619,0.98966,0.82379,0.61774,0.3229,0.86162,0.000453258,0.000453258,0.000453258
18,1567.2,0.6841,0.36087,0.88475,0.97373,0.96867,0.98548,0.82183,0.61576,0.33008,0.85973,0.000402084,0.000402084,0.000402084
19,1650.64,0.67597,0.35151,0.88213,0.98102,0.97161,0.98664,0.82307,0.60654,0.31373,0.86224,0.000352037,0.000352037,0.000352037
20,1735.09,0.66541,0.34503,0.88338,0.98229,0.97315,0.98486,0.82398,0.60392,0.31035,0.85739,0.000303665,0.000303665,0.000303665
21,1856.92,0.64028,0.31856,0.87481,0.97981,0.9787,0.9861,0.82145,0.61161,0.30752,0.8614,0.0002575,0.0002575,0.0002575
22,1941.63,0.6335,0.31177,0.87273,0.98122,0.98189,0.98405,0.82041,0.60175,0.30294,0.86251,0.000214046,0.000214046,0.000214046
23,2026.07,0.62132,0.30344,0.86698,0.97987,0.97614,0.98657,0.83129,0.59087,0.2887,0.85265,0.00017378,0.00017378,0.00017378
24,2113.47,0.62125,0.29458,0.86414,0.97706,0.97995,0.98571,0.82732,0.60208,0.29062,0.85978,0.000137143,0.000137143,0.000137143
25,2197.8,0.61153,0.28986,0.8608,0.98236,0.97708,0.98597,0.83353,0.59593,0.28557,0.85834,0.000104537,0.000104537,0.000104537
26,2285.12,0.6045,0.28391,0.86295,0.97631,0.98132,0.98676,0.83725,0.58829,0.27542,0.85716,7.63174e-05,7.63174e-05,7.63174e-05
27,2370.51,0.60249,0.27811,0.86362,0.97915,0.97744,0.98648,0.83427,0.58938,0.27605,0.8548,5.2795e-05,5.2795e-05,5.2795e-05
28,2455.4,0.59818,0.27359,0.85816,0.97994,0.97922,0.98618,0.83329,0.58886,0.27218,0.85542,3.4227e-05,3.4227e-05,3.4227e-05
29,2539.71,0.59131,0.27048,0.85579,0.9818,0.97995,0.98692,0.83608,0.58365,0.26827,0.85403,2.08169e-05,2.08169e-05,2.08169e-05
30,2625.76,0.5937,0.26791,0.85881,0.98227,0.9812,0.98606,0.8356,0.585,0.26782,0.85388,1.27117e-05,1.27117e-05,1.27117e-05
