epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2673,0.96727,0.94691,0.93274,0.96163,0.96491,0.97842,0.76186,0.76455,0.51254,0.86932,0.000332468,0.000332468,0.0670857
2,120.987,0.88559,0.58457,0.90669,0.96707,0.96241,0.97789,0.75314,0.79906,0.5573,0.8823,0.000663995,0.000663995,0.0340839
3,176.269,0.87485,0.57118,0.90661,0.95684,0.97231,0.98317,0.78227,0.73397,0.48722,0.86779,0.000988327,0.000988327,0.00107491
4,233.099,0.8354,0.53387,0.89679,0.97076,0.95489,0.98219,0.77526,0.71213,0.47625,0.87054,0.000975773,0.000975773,0.000975773
5,289.771,0.82841,0.51145,0.89458,0.97212,0.96366,0.98243,0.78699,0.73052,0.46136,0.86777,0.000957205,0.000957205,0.000957205
6,345.475,0.80363,0.48986,0.89022,0.98066,0.95865,0.98662,0.8011,0.69477,0.42858,0.85942,0.000933683,0.000933683,0.000933683
7,398.991,0.79773,0.48311,0.88805,0.97192,0.95614,0.9853,0.80064,0.68829,0.43281,0.85843,0.000905463,0.000905463,0.000905463
8,453.367,0.78996,0.46962,0.88273,0.9746,0.96491,0.98172,0.80246,0.6716,0.40553,0.84892,0.000872857,0.000872857,0.000872857
9,508.18,0.77478,0.45903,0.88235,0.97405,0.9599,0.98369,0.80173,0.67358,0.40999,0.84887,0.00083622,0.00083622,0.00083622
10,561.76,0.75804,0.44316,0.87385,0.97245,0.97307,0.9844,0.81389,0.65229,0.38081,0.84876,0.000795954,0.000795954,0.000795954
11,615.152,0.75306,0.43712,0.8742,0.97924,0.97243,0.9871,0.81362,0.64521,0.36992,0.84166,0.0007525,0.0007525,0.0007525
12,667.653,0.73825,0.43108,0.87201,0.97584,0.96168,0.9831,0.80264,0.66241,0.38957,0.8459,0.000706335,0.000706335,0.000706335
13,720.857,0.73559,0.42134,0.87254,0.97614,0.96992,0.98655,0.82124,0.62554,0.35857,0.83828,0.000657963,0.000657963,0.000657963
14,776.373,0.72809,0.41382,0.87041,0.97368,0.97369,0.98641,0.80849,0.64684,0.3631,0.84261,0.000607916,0.000607916,0.000607916
15,830.811,0.71743,0.40452,0.86917,0.97381,0.97861,0.9851,0.81145,0.6409,0.38202,0.84284,0.000556742,0.000556742,0.000556742
16,885.796,0.71273,0.39756,0.86546,0.97353,0.96784,0.98725,0.82092,0.61982,0.35372,0.83717,0.000505,0.000505,0.000505
17,940.61,0.70104,0.38543,0.86412,0.9702,0.97917,0.98782,0.82535,0.6116,0.33072,0.83628,0.000453258,0.000453258,0.000453258
18,997.142,0.69397,0.37782,0.86201,0.977,0.97494,0.98686,0.82158,0.62395,0.33331,0.83685,0.000402084,0.000402084,0.000402084
19,1052.05,0.68584,0.36983,0.85874,0.97473,0.9787,0.98582,0.82405,0.61587,0.33074,0.83482,0.000352037,0.000352037,0.000352037
20,1107.5,0.67854,0.3646,0.8592,0.97038,0.98533,0.98737,0.8239,0.60759,0.32502,0.83498,0.000303665,0.000303665,0.000303665
21,1202.77,0.6511,0.3373,0.84862,0.98408,0.97619,0.98664,0.82053,0.61736,0.32357,0.83477,0.0002575,0.0002575,0.0002575
22,1256.9,0.64448,0.32615,0.8472,0.97992,0.97494,0.9868,0.83047,0.5965,0.3137,0.8301,0.000214046,0.000214046,0.000214046
23,1310.41,0.63265,0.31581,0.84016,0.98363,0.97912,0.98839,0.83364,0.60196,0.30305,0.83165,0.00017378,0.00017378,0.00017378
24,1363.99,0.62837,0.30907,0.83851,0.97988,0.97631,0.98825,0.82899,0.60731,0.30693,0.83313,0.000137143,0.000137143,0.000137143
25,1416.36,0.62302,0.30483,0.83864,0.98327,0.97619,0.98807,0.82816,0.59992,0.29566,0.8292,0.000104537,0.000104537,0.000104537
26,1469.4,0.6167,0.30175,0.83998,0.98113,0.97709,0.98811,0.8343,0.58987,0.29,0.82825,7.63174e-05,7.63174e-05,7.63174e-05
27,1524.96,0.61154,0.29255,0.83809,0.98478,0.97267,0.98815,0.83274,0.58878,0.28436,0.82694,5.2795e-05,5.2795e-05,5.2795e-05
28,1581.47,0.60891,0.28938,0.83512,0.98532,0.97243,0.9878,0.83513,0.58897,0.28273,0.82784,3.4227e-05,3.4227e-05,3.4227e-05
29,1636.33,0.60228,0.28632,0.83263,0.98573,0.97368,0.98739,0.83453,0.58805,0.27981,0.82733,2.08169e-05,2.08169e-05,2.08169e-05
30,1689.1,0.6052,0.28408,0.83463,0.98416,0.97368,0.98791,0.83428,0.58743,0.27773,0.82704,1.27117e-05,1.27117e-05,1.27117e-05
