epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,962.4,0.8335,0.87978,0.14392,0.47765,0.55013,0.50751,0.16231,0.681,0.8989,0.24165,0.000333117,0.000333117,0.0670215
2,1894.09,0.53593,0.94351,0.07475,0.9523,0.88847,0.94361,0.49947,0.48999,0.55793,0.13918,0.000664643,0.000664643,0.0340196
3,2809.33,0.42959,0.44394,0.05326,0.95477,0.96491,0.97283,0.71113,0.29169,0.42774,0.08218,0.000988969,0.000988969,0.00101064
4,3734.42,0.28951,0.44719,0.03538,0.96067,0.96115,0.96397,0.758,0.24289,0.3406,0.06774,0.000975773,0.000975773,0.000975773
5,4659.33,0.26833,0.37312,0.0339,0.95765,0.9634,0.97172,0.74198,0.25905,0.35846,0.07031,0.000957205,0.000957205,0.000957205
6,5584.26,0.25551,0.35405,0.03061,0.97463,0.96285,0.97643,0.77887,0.22899,0.34631,0.06146,0.000933683,0.000933683,0.000933683
7,6508.94,0.27161,0.36431,0.03223,0.96805,0.96366,0.97842,0.74362,0.26265,0.36912,0.06575,0.000905463,0.000905463,0.000905463
8,7431.88,0.24574,0.35686,0.03001,0.96939,0.95239,0.97312,0.69135,0.30451,0.39818,0.08424,0.000872857,0.000872857,0.000872857
9,8354.66,0.24111,0.34306,0.03015,0.95575,0.95865,0.96492,0.71342,0.27937,0.37636,0.07679,0.00083622,0.00083622,0.00083622
10,9263.22,0.22643,0.34119,0.02777,0.95356,0.96617,0.97143,0.7272,0.26588,0.3583,0.06815,0.000795954,0.000795954,0.000795954
11,10186.3,0.213,0.31823,0.02584,0.95547,0.96798,0.97725,0.73001,0.26429,0.37773,0.06746,0.0007525,0.0007525,0.0007525
12,11112.4,0.21009,0.3139,0.02523,0.96876,0.9599,0.98079,0.71389,0.28758,0.38059,0.07934,0.000706335,0.000706335,0.000706335
13,12035.4,0.20422,0.30887,0.02419,0.95663,0.96739,0.97635,0.71027,0.28298,0.38267,0.0758,0.000657963,0.000657963,0.000657963
14,12959,0.20397,0.30715,0.02428,0.96093,0.96366,0.96919,0.6952,0.29446,0.39809,0.07896,0.000607916,0.000607916,0.000607916
15,13881.8,0.20736,0.31101,0.02471,0.93562,0.96515,0.96365,0.78567,0.21349,0.3275,0.05111,0.000556742,0.000556742,0.000556742
16,14809.6,0.21421,0.33112,0.0257,0.96364,0.96301,0.98135,0.80003,0.20636,0.31134,0.05127,0.000505,0.000505,0.000505
17,15732.9,0.20844,0.31883,0.02463,0.97221,0.96438,0.97505,0.78886,0.21896,0.32084,0.05424,0.000453258,0.000453258,0.000453258
18,16638.2,0.20322,0.30612,0.02434,0.96657,0.96241,0.98,0.78627,0.21911,0.32723,0.05702,0.000402084,0.000402084,0.000402084
19,17562.5,0.20518,0.32044,0.02487,0.95728,0.96992,0.96547,0.76905,0.22149,0.33967,0.05558,0.000352037,0.000352037,0.000352037
20,18485.8,0.19386,0.30933,0.02331,0.96212,0.96491,0.97401,0.78426,0.21799,0.32399,0.05594,0.000303665,0.000303665,0.000303665
21,19212.8,0.20641,0.34278,0.05434,0.94141,0.96649,0.9633,0.80968,0.18265,0.30826,0.04856,0.0002575,0.0002575,0.0002575
22,19897.9,0.19255,0.3153,0.04876,0.93894,0.96491,0.96124,0.81349,0.17569,0.30385,0.04503,0.000214046,0.000214046,0.000214046
23,20580.7,0.18486,0.29839,0.04618,0.95654,0.9654,0.96581,0.82176,0.17237,0.2936,0.04309,0.00017378,0.00017378,0.00017378
24,21264.1,0.18021,0.29244,0.04514,0.94165,0.97243,0.95663,0.81419,0.17201,0.31933,0.0425,0.000137143,0.000137143,0.000137143
25,21941.6,0.17906,0.28994,0.0452,0.95925,0.97337,0.97031,0.82602,0.17188,0.28768,0.04265,0.000104537,0.000104537,0.000104537
26,22629.1,0.17679,0.28286,0.04369,0.96757,0.97207,0.97915,0.8371,0.16985,0.28679,0.04227,7.63174e-05,7.63174e-05,7.63174e-05
27,23309.8,0.1748,0.27623,0.04402,0.9683,0.97243,0.97795,0.83351,0.17029,0.28459,0.04217,5.2795e-05,5.2795e-05,5.2795e-05
28,23956.4,0.17209,0.27135,0.04266,0.97013,0.9768,0.98227,0.84031,0.16915,0.28388,0.04175,3.4227e-05,3.4227e-05,3.4227e-05
29,24640.2,0.17077,0.26863,0.04221,0.97002,0.97313,0.9815,0.84147,0.16801,0.27828,0.04145,2.08169e-05,2.08169e-05,2.08169e-05
30,25328.1,0.1707,0.26508,0.04276,0.96883,0.97382,0.9782,0.83835,0.16792,0.28147,0.04161,1.27117e-05,1.27117e-05,1.27117e-05
