epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.5787,1.02518,0.94672,0.95443,0.96899,0.93963,0.96669,0.74273,0.81299,0.56189,0.8749,0.000332468,0.000332468,0.0670857
2,111.032,0.92673,0.62593,0.91406,0.94587,0.9411,0.96977,0.71662,0.84542,0.70142,0.89002,0.000663995,0.000663995,0.0340839
3,161.079,0.89971,0.59523,0.91128,0.97081,0.95489,0.97524,0.76522,0.76955,0.4874,0.85763,0.000988327,0.000988327,0.00107491
4,210.861,0.86705,0.54548,0.89988,0.97202,0.96491,0.98335,0.76028,0.77111,0.50266,0.87268,0.000975773,0.000975773,0.000975773
5,260.206,0.8521,0.53384,0.89697,0.97403,0.96617,0.97974,0.77164,0.75956,0.46757,0.86089,0.000957205,0.000957205,0.000957205
6,308.238,0.83117,0.51101,0.89267,0.96974,0.96992,0.97953,0.78259,0.71683,0.44404,0.85993,0.000933683,0.000933683,0.000933683
7,361.457,0.81882,0.50231,0.89239,0.95838,0.98106,0.98502,0.79819,0.69364,0.41821,0.84981,0.000905463,0.000905463,0.000905463
8,413.208,0.81749,0.49258,0.88706,0.97678,0.96742,0.98464,0.79339,0.70247,0.41935,0.85018,0.000872857,0.000872857,0.000872857
9,464.833,0.79774,0.47444,0.88366,0.9669,0.97619,0.98631,0.7926,0.68962,0.40243,0.84783,0.00083622,0.00083622,0.00083622
10,515.38,0.78886,0.46021,0.87814,0.97359,0.97006,0.98522,0.80138,0.67793,0.38278,0.84353,0.000795954,0.000795954,0.000795954
11,567.474,0.77803,0.45246,0.87786,0.96743,0.96777,0.98474,0.80277,0.67962,0.41443,0.84658,0.0007525,0.0007525,0.0007525
12,618.459,0.76787,0.45265,0.87882,0.97386,0.96115,0.98171,0.80018,0.66926,0.40118,0.8457,0.000706335,0.000706335,0.000706335
13,669.007,0.76722,0.44396,0.87871,0.97319,0.97368,0.98562,0.80691,0.66088,0.37705,0.84321,0.000657963,0.000657963,0.000657963
14,718.086,0.75749,0.43442,0.8761,0.97737,0.97398,0.98792,0.81394,0.64406,0.36011,0.8393,0.000607916,0.000607916,0.000607916
15,768.914,0.74672,0.4268,0.87464,0.97131,0.97368,0.98704,0.81022,0.65372,0.3804,0.8411,0.000556742,0.000556742,0.000556742
16,821.868,0.74357,0.41872,0.86993,0.97833,0.96182,0.98637,0.80829,0.66073,0.37041,0.84142,0.000505,0.000505,0.000505
17,874.321,0.73029,0.40588,0.86736,0.97492,0.9743,0.98642,0.81466,0.64514,0.34655,0.8365,0.000453258,0.000453258,0.000453258
18,926.166,0.72305,0.39778,0.8647,0.96979,0.97995,0.98714,0.81182,0.66175,0.35111,0.83762,0.000402084,0.000402084,0.000402084
19,978.401,0.71659,0.39308,0.86229,0.97025,0.98098,0.98683,0.81776,0.63065,0.3491,0.83342,0.000352037,0.000352037,0.000352037
20,1029.68,0.70773,0.38725,0.86359,0.97112,0.98246,0.9864,0.82301,0.62225,0.33454,0.83365,0.000303665,0.000303665,0.000303665
21,1120.32,0.67886,0.35619,0.85193,0.97803,0.98371,0.98811,0.82194,0.63005,0.33493,0.83461,0.0002575,0.0002575,0.0002575
22,1169.07,0.67111,0.34917,0.84915,0.97313,0.97995,0.98728,0.82417,0.6117,0.3247,0.83009,0.000214046,0.000214046,0.000214046
23,1216.14,0.65772,0.33774,0.84434,0.97382,0.97894,0.9871,0.82657,0.61346,0.32063,0.83168,0.00017378,0.00017378,0.00017378
24,1265.58,0.65486,0.32839,0.84266,0.97993,0.97909,0.98872,0.82418,0.62295,0.31803,0.83216,0.000137143,0.000137143,0.000137143
25,1316.03,0.64279,0.32195,0.84063,0.98104,0.97258,0.98806,0.82736,0.60961,0.30537,0.82796,0.000104537,0.000104537,0.000104537
26,1366.28,0.6394,0.31914,0.84247,0.97746,0.97821,0.98787,0.83,0.60578,0.30654,0.8279,7.63174e-05,7.63174e-05,7.63174e-05
27,1415.59,0.636,0.31093,0.84154,0.98106,0.97391,0.98819,0.82821,0.6069,0.30155,0.82729,5.2795e-05,5.2795e-05,5.2795e-05
28,1465.2,0.62855,0.30911,0.8373,0.98233,0.97547,0.98851,0.83101,0.60663,0.29721,0.82712,3.4227e-05,3.4227e-05,3.4227e-05
29,1515.39,0.62675,0.30482,0.8351,0.98481,0.97499,0.98825,0.83077,0.60619,0.29711,0.82697,2.08169e-05,2.08169e-05,2.08169e-05
30,1564.25,0.62841,0.30371,0.8371,0.98477,0.97232,0.98839,0.83009,0.60519,0.29374,0.82619,1.27117e-05,1.27117e-05,1.27117e-05
